RepeatStatus,Gender,MEMBER_RATING,Accepts Marketing,Discount_Percentage,Total,Installment,Source,PersonalizationDone,NumberItemsTotal,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold Wallets,Coin & Card Holders,Passport Wallets,Long Wallets,Luggage Tags,Lanyard,Bag Straps,Bracelets,Festive_purchase,Order_ID
0,F,3,yes,0.05,303.05,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5532
0,F,2,no,0.1,152.1,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5531
0,F,5,yes,0,128,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5530
0,F,2,no,0.1,160.2,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5529
0,F,3,yes,0.1,269.1,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5527
0,M,3,yes,0.1,178.2,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5525
1,F,4,no,0.1,213.3,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5524
0,F,2,no,0.05,119.7,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5523
0,F,3,yes,0.05,206.15,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5522
0,F,2,yes,0,336,Installment,web,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#5521
0,F,2,no,0,69,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5520
0,M,2,no,0,149,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5519
0,F,4,no,0.4,178.8,Cash,pos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5518
0,F,2,no,0.05,188.1,Cash,web,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,#5514
0,M,3,yes,0,399,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5513
0,M,3,yes,0,88,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,#5511
0,M,3,yes,0,146,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5510
0,F,2,no,0,179,Cash,web,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,#5509
0,M,2,yes,0.18,365.72,Cash,web,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,#5508
1,M,5,yes,0.18,268.14,Cash,web,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5507
0,F,2,yes,0.18,268.96,Cash,web,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,#5506
0,F,4,no,0,98,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5504
0,F,2,yes,0,236,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5503
0,F,2,yes,0.05,250.8,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5502
0,F,5,yes,0.05,283.1,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5501
0,M,2,yes,0,236,Installment,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5500
0,F,2,yes,0,336,Installment,web,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,#5499
0,F,3,yes,0,268,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5498
0,F,3,yes,0.05,119.7,Cash,web,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,#5497
0,F,2,yes,0,159,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5496
0,M,5,yes,0.05,93.1,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5495
0,M,2,yes,0.18,284.54,Cash,web,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,#5493
0,F,3,yes,0.05,246.05,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5492
0,F,2,yes,0,222,Installment,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5490
0,F,2,yes,0,284,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5489
0,M,2,no,0,169,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5487
0,M,2,no,0,193,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5485
0,F,2,yes,0,254,Installment,web,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,#5484
0,F,2,no,0,149,Installment,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5483
0,M,2,no,0.14,216.72,Cash,web,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5482
0,F,5,yes,0.1,237.6,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5481
0,F,3,no,0.05,242.25,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5480
0,M,3,yes,0.05,247.75,Cash,web,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,#5478
0,F,2,no,0.12,192,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5477
0,M,2,no,0,136,Cash,web,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,#5475
0,M,2,yes,0,109,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5474
0,F,2,yes,0.1,248.4,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5473
0,F,4,yes,0,139,Cash,pos,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,#5472
0,F,3,yes,0.1,122.4,Cash,web,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,#5471
0,F,3,yes,0,156,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5469
0,F,4,no,0.2,318.4,Cash,pos,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,#5466
0,F,2,no,0.05,205.2,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5465
0,F,2,no,0,236,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5464
0,M,2,yes,0,296,Cash,web,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,#5463
0,M,2,no,0.16,256.12,Cash,web,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5462
0,F,2,yes,0,266,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5461
0,M,2,yes,0.05,178.6,Cash,web,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,#5456
0,F,2,yes,0.18,316.52,Installment,web,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,#5455
0,M,3,yes,0.09,254,Cash,pos,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,#5453
0,F,2,no,0,169,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5452
1,F,5,yes,0.17,667.72,Cash,web,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5451
1,M,2,no,0.1,248.4,Cash,web,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,#5450
0,F,3,no,0,235,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,#5448
0,F,4,yes,0.09,259,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5447
0,F,2,no,0.13,162,Installment,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5446
0,M,5,yes,0.05,121.6,Installment,web,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,#5445
0,F,2,no,0.1,143.1,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5443
0,F,5,yes,0.26,73,Installment,web,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,#5439
0,F,2,no,0,248,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,#5438
0,M,5,yes,0.13,162,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,#5437
0,F,3,no,0.2,308,Cash,web,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5434
0,F,2,no,0.05,119.7,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,#5433
0,M,2,no,0,98,Cash,web,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,#5431
0,F,2,yes,0,246,Installment,web,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,#5428
0,F,4,yes,0.1,277.2,Cash,web,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,#5427
0,F,3,yes,0.08,343.3,Cash,web,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,#5425
0,M,2,no,0.05,113.05,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,#5423
0,F,2,no,0.05,303.05,Cash,pos,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,#5422
